fips,tot_po_yr,tot_po8,n_years_available,avg_customers_out,avg_customer_time_std
12086,55,2,3,2561843,2
12087,89,0,3,175520,4
12089,78,2,3,118267,3
12091,84,1,1,202335,2
12093,110,0,2,59173,3
12097,52,0,2,2208785,15
12099,86,1,3,1357985,2
12101,105,1,3,460543,2
12105,74,0,2,363276,1
12107,92,2,3,101293,3
12113,95,0,1,120557,1
12115,99,1,3,411666,2
12117,87,2,3,388806,2
12109,90,1,3,202946,2
12111,84,0,3,212592,1
12119,64,1,3,98172,1
12121,177,5,3,159207,8
12123,126,2,3,51654,5
12125,45,1,3,17060,3
12127,89,2,3,465471,2
12129,155,5,3,366759,24
12131,113,2,3,295270,8
12133,111,0,1,30629,3
13001,163,2,2,88932,10
13003,74,1,3,22503,6
13005,70,1,3,24854,5
13007,103,7,3,118773,67
13009,90,3,3,83213,4
13011,102,3,3,66452,7
13013,48,2,3,62641,2
13015,88,4,3,270375,5
13017,72,2,2,67209,8
13019,35,1,3,33692,4
13021,82,4,3,216422,3
13023,18,1,3,24401,4
13025,116,2,2,28668,3
13029,84,1,3,50138,3
13031,105,1,3,126054,3
13033,44,2,3,30296,3
13037,111,3,3,57183,24
13039,87,2,3,91274,4
13043,97,1,3,35759,7
13045,110,3,3,312771,6
13049,98,2,3,36707,8
13051,94,4,1,398798,3
13053,47,1,3,15910,5
13055,124,6,2,73852,6
13057,77,3,3,384114,3
13059,65,2,3,136885,2
13061,99,3,3,46039,28
13063,106,7,3,464374,4
13067,48,3,1,1663659,4
13069,102,2,2,129299,7
13073,60,2,3,118329,2
13077,89,4,2,437346,6
13079,104,3,3,38239,6
13083,83,5,3,68646,9
13085,98,4,3,116337,9
13087,121,6,3,420013,31
13089,150,9,3,2181278,6
13093,115,2,3,85559,14
13097,80,2,3,246355,4
13103,67,1,3,81844,3
13105,42,0,1,11452,1
13107,75,1,3,60802,6
13109,84,0,2,31802,6
13111,232,10,1,617593,42
13113,70,2,1,97108,2
13115,124,8,2,140997,3
13117,67,1,3,241575,2
13119,77,2,3,62147,6
13121,141,8,2,1439870,3
13123,248,15,3,657319,41
13127,82,2,3,162125,4
13129,114,4,2,74578,3
13131,115,5,3,380167,32
13133,95,3,3,57376,6
13135,97,4,3,1184497,3
13137,100,6,3,253652,13
13139,84,3,3,419650,5
13141,160,3,3,44997,12
13143,132,4,3,198102,13
13145,93,3,3,97463,6
13147,59,1,3,32718,2
13149,83,2,3,46030,8
13151,71,1,3,174181,2
13153,59,1,3,189127,3
13155,114,4,2,61361,14
13157,75,2,3,58317,2
13159,80,1,3,28843,4
13161,112,1,2,73557,11
13167,79,3,3,52968,12
13169,90,4,2,99988,7
13171,97,2,2,28668,3
13175,47,1,3,127650,6
13177,80,3,3,287531,21
13179,113,2,2,90877,3
13181,59,2,3,17903,4
13183,83,1,3,28493,4
13185,34,1,3,61189,1
13187,127,6,3,208579,13
13193,115,4,3,84598,14
13195,55,2,2,32035,2
13197,76,4,3,28771,7
13189,70,1,3,25714,2
13191,95,1,3,44061,6
13199,116,4,3,70041,7
13201,31,1,3,7812,3
13205,100,3,3,437849,42
13207,94,3,3,53954,4
13211,100,1,3,32118,3
13213,137,4,2,101360,6
13215,78,5,3,260114,3
13219,68,1,2,39825,2
13223,66,1,3,280159,4
13225,57,1,3,40954,3
13227,150,8,3,233561,15
13229,102,2,2,40048,4
13231,68,3,2,68396,9
13233,121,7,3,192817,10
13235,70,1,3,79587,16
13237,104,2,3,70077,6
13239,18,0,3,978,1
13241,235,6,1,99392,11
13243,84,2,3,56183,16
13245,64,2,3,163190,2
13247,62,1,3,75826,2
13255,50,0,3,32159,1
13257,87,2,3,122642,9
13259,13,1,3,536,0
13261,97,3,3,251756,16
13263,92,4,3,24361,7
13265,6,0,3,215,0
13267,83,0,3,43692,4
13271,21,1,3,33069,5
13273,101,4,3,89729,21
13275,63,4,3,152666,7
13277,40,2,3,117102,6
13279,26,0,3,32201,2
13281,166,6,1,103177,16
13285,51,1,3,51045,2
13287,98,3,3,52409,13
13291,203,9,1,317176,23
13293,62,3,3,36652,3
13297,65,1,3,81216,2
13299,76,1,2,45738,2
13301,88,2,3,15140,5
13303,119,3,3,104379,11
13305,130,2,2,67518,5
13307,72,2,3,18126,13
13311,142,8,2,319073,21
13315,114,2,3,76613,23
13321,78,3,3,272436,26
15003,171,2,3,1125703,3
15007,101,4,3,204759,8
16003,5,0,3,241,0
16009,18,1,1,7304,1
16011,1,0,1,1632,0
16013,15,2,1,2590,0
16015,8,0,3,624,0
16017,61,3,3,187041,7
16025,2,0,1,84,0
16033,61,1,2,112,0
16035,45,5,1,76361,15
16043,125,2,3,43004,7
16047,10,0,2,775,0
16049,36,4,1,48058,5
16053,6,0,2,983,0
16055,44,2,3,148333,2
16057,9,2,1,8526,0
16059,8,0,2,432,0
16063,4,0,3,341,0
16067,2,0,2,199,0
16069,6,0,1,3027,0
16075,5,0,1,8261,1
16079,59,7,1,67412,9
16085,8,0,2,425,0
17001,46,0,3,44102,1
17011,23,1,3,15487,1
17013,60,3,3,15650,8
17015,48,3,3,47666,6
17017,36,2,2,6896,1
17021,3,0,1,618,0
17023,60,1,3,19683,2
17027,18,0,1,4285,0
17029,20,0,3,16059,1
17033,84,2,3,59400,6
17035,2,0,1,305,0
17045,46,0,3,12753,1
17049,45,2,1,17980,1
17057,39,2,3,27593,2
17061,52,1,3,12492,2
17065,3,0,3,144,0
17067,38,2,3,22870,3
17069,75,1,3,16522,10
17071,46,2,3,14530,4
17077,24,0,2,8641,0
17079,83,1,3,23958,5
17081,33,1,3,21623,1
17083,122,3,3,37697,4
17085,50,1,3,31083,3
17101,66,1,3,50956,7
17117,63,2,1,57504,3
17119,65,4,3,319178,2
17121,28,1,3,15592,1
17123,80,3,3,34610,6
17125,56,1,3,17661,2
17109,19,1,3,11508,1
17129,39,1,3,8263,1
17131,94,5,3,87004,11
17133,32,1,3,25809,2
17137,54,1,3,29175,2
17143,95,7,3,338863,4
17149,77,3,3,30902,4
17151,72,2,3,17500,9
17153,24,1,3,9218,4
17161,71,4,3,961110,13
17165,55,3,3,44666,4
17169,47,0,3,6954,2
17171,38,1,3,5244,2
17173,2,0,1,486,0
17187,44,2,3,21228,3
17189,25,1,3,5379,1
17191,2,0,1,476,0
17193,3,0,1,327,0
18003,64,4,1,307730,2
18011,49,1,1,40828,1
18013,176,10,2,133873,17
18019,112,7,2,371356,7
18021,58,6,1,63220,5
18025,73,5,3,73006,15
18029,59,2,3,99017,4
18031,74,2,3,51772,4
18033,30,1,3,23922,1
18037,26,1,3,23148,1
18039,48,3,2,163971,2
18041,34,3,2,33992,3
18043,78,5,2,313652,8
18047,28,1,3,15643,1
18051,71,6,1,101374,6
18055,97,7,3,89653,6
18057,55,3,3,389551,2
18061,102,6,3,140453,8
18063,53,2,3,129699,2
18069,56,0,1,31735,2
18071,58,4,2,84644,4
18073,58,1,3,29879,2
18077,66,3,3,156163,10
18079,65,3,3,77909,6
18083,66,2,3,206097,11
18085,51,3,3,109446,3
18087,47,3,3,44141,3
18089,93,6,3,1296922,5
18091,89,7,3,204188,4
18095,42,2,1,61284,1
18103,40,1,3,16608,1
18105,90,8,2,336495,5
18107,14,0,3,5729,0
18109,94,6,3,200815,6
18111,38,1,3,17736,3
18113,32,1,3,19656,1
18115,41,2,3,11994,4
18119,146,8,3,129451,12
18121,63,3,1,33993,5
18125,76,4,1,41800,7
18127,38,3,3,152556,2
18129,91,2,2,44192,3
18131,34,1,3,6202,1
18133,43,2,3,28312,2
18137,74,3,3,74501,5
18143,61,2,2,58382,5
18149,49,1,3,20060,2
18151,110,3,3,100486,5
18153,101,6,3,68716,7
18155,78,3,3,31510,6
18157,48,2,1,176803,2
18161,38,1,3,12942,4
18173,67,1,1,135565,4
18175,73,2,2,128176,10
18183,31,0,1,17475,1
19007,1,0,1,1430,0
19013,38,2,1,110478,2
19023,44,0,2,10501,1
19033,60,2,2,79754,3
19041,21,1,1,9126,1
19043,46,0,2,16564,2
19045,73,2,1,64530,3
19047,18,0,2,4951,1
19051,73,1,1,10696,3
19055,46,2,1,23114,3
19057,63,1,3,30809,1
19059,36,1,1,41032,4
19061,38,2,1,99370,2
19067,65,3,1,31135,4
19071,41,1,3,13047,3
19073,50,5,1,72555,14
19077,1,0,1,637,0
19081,40,1,1,24443,4
19083,44,6,1,107858,11
19085,41,1,1,17187,2
19095,76,2,1,38741,4
19097,40,1,1,21613,2
19103,63,2,1,145776,2
19105,59,2,1,16802,2
19109,38,1,2,15830,2
19111,56,1,3,50005,3
19113,59,0,2,134894,1
19119,4,1,1,1226,0
19123,42,2,2,22568,2
19127,70,6,1,2060221,104
19129,61,1,3,30414,4
19137,44,1,3,10314,2
19139,30,1,2,35436,2
19141,30,0,2,7633,1
19143,1,1,1,739,0
19145,35,2,1,18796,2
19147,38,0,3,9504,2
19151,1,0,1,222,0
19155,63,1,3,98423,2
19163,62,2,3,1303303,15
19165,52,0,1,12447,2
19167,33,1,3,28096,2
19169,30,7,1,768779,16
19171,57,2,1,512814,60
19181,49,1,1,90337,4
19183,48,3,1,59159,5
19185,55,0,3,5239,2
19191,45,1,1,22560,2
19193,50,0,1,55858,1
19195,54,2,3,35327,9
20001,38,0,2,5756,1
20003,8,1,1,2550,1
20005,44,2,2,22466,3
20007,7,0,2,1269,0
20009,34,2,3,46927,3
20011,57,2,2,30434,4
20015,51,2,2,57014,2
20017,13,0,3,158,0
20031,49,3,1,14911,3
20037,50,0,2,26385,1
20045,53,4,2,157276,3
20051,29,1,3,47565,3
20059,83,12,1,109007,8
20061,32,0,3,11858,1
20063,0,0,3,112,0
20065,1,0,3,152,0
20071,1,0,3,15,0
20075,4,0,3,47,0
20079,46,2,2,27188,2
20083,2,0,3,153,0
20085,30,3,2,16862,2
20087,47,2,2,34082,3
20091,48,3,2,999873,3
20093,20,4,3,546,0
20103,44,2,2,55714,2
20109,42,0,3,9663,6
20111,49,3,1,129952,7
20115,47,2,2,11846,2
20117,20,0,2,9412,2
20121,61,2,2,108414,6
20127,0,0,2,330,0
20139,51,6,1,60811,7
20143,3,0,2,162,0
20145,29,1,3,8891,3
20155,42,1,1,49650,1
20161,52,4,2,40986,1
20169,40,0,2,25598,1
20171,2,0,3,81,0
20173,56,4,2,385710,1
20177,40,2,2,165276,2
20179,0,0,3,989,1
20193,45,1,3,7086,2
20197,1,0,1,900,0
20199,7,0,3,229,0
20203,6,0,3,76,0
20207,70,1,1,1128,1
21001,1,0,1,709,0
21003,75,2,3,51385,5
21005,67,4,3,49281,4
21007,61,2,3,33257,8
21011,100,3,3,34540,6
21013,118,5,3,72922,5
21015,65,3,3,160216,3
21017,65,2,3,28673,3
21021,44,1,3,36921,2
21023,90,1,3,30876,7
21029,99,3,3,130198,3
21031,59,1,3,16097,2
21035,57,2,3,58966,3
21039,45,3,1,21428,8
21043,140,6,3,66114,5
21045,63,1,3,19479,2
21049,53,2,3,37530,2
21051,180,5,3,59787,6
21053,72,2,3,25747,5
21061,98,2,2,51790,8
21067,64,3,3,795857,5
21069,125,3,3,45293,6
21071,185,11,3,211804,11
21079,49,1,3,31976,4
21081,65,1,3,46521,4
21083,55,2,3,70279,4
21089,126,7,3,91364,5
21093,35,0,1,38361,1
21095,116,5,3,68018,5
21097,79,2,3,25876,3
21099,87,2,2,36595,4
21101,39,2,1,77416,3
21103,79,3,3,25853,3
21105,58,1,3,13292,6
21109,128,3,3,39560,6
21111,79,5,3,1753162,4
21115,171,5,1,100702,9
21121,81,3,3,91929,6
21123,34,2,2,30852,4
21125,80,2,3,84541,3
21127,196,12,3,104601,14
21135,130,3,3,93177,14
21137,81,1,3,47105,4
21139,72,2,3,40674,8
21143,44,0,1,10092,2
21151,48,1,3,93375,2
21155,63,1,3,38250,4
21157,56,1,3,55797,3
21159,138,9,3,91915,17
21161,81,1,3,35281,4
21147,104,3,3,63473,8
21149,57,1,3,16292,3
21167,53,1,3,34135,3
21171,43,0,3,17989,3
21173,59,2,3,57455,4
21177,59,2,3,30534,2
21179,115,3,3,74879,3
21185,93,10,3,207745,7
21187,92,2,3,21110,4
21189,105,5,3,15706,7
21191,81,2,3,33821,5
21197,86,3,1,17273,3
21199,128,2,2,119551,4
21201,3,0,3,334,0
21203,157,3,3,59864,7
21207,81,1,3,31183,3
21209,62,2,3,67211,2
21211,62,3,3,43110,2
21215,69,2,3,38772,4
21217,14,0,3,6646,1
21219,96,2,2,72308,12
21221,125,2,3,83081,11
21223,63,2,3,17340,4
21225,67,2,3,27055,4
21229,63,2,3,25042,4
21231,108,3,3,65876,6
21233,53,1,3,16692,3
21235,79,3,3,109159,7
21237,70,1,1,9731,2
21239,73,4,3,289479,21
22001,114,6,3,879180,28
22003,233,23,3,677653,62
22005,127,7,3,341607,6
22007,69,3,3,163281,14
22009,178,12,3,419617,20
22011,262,25,3,1733867,92
22013,175,18,2,289674,37
22019,176,17,3,10045051,93
22021,125,8,3,186145,36
22023,104,10,3,86706,22
22027,158,12,2,274603,35
